session,scan_idx,unit_id,readout_id,unit_x,unit_y,unit_z,brain_area,field,pt_root_id,cc_max,layer,cell_type
6,4,7245,6706,1284.29,301.4,407.87,RL,6,864691134885593594,0.777508,L5,5P-ET
6,4,7246,6707,901.1,686.57,413.73,V1,6,864691136903883954,0.619168,L5,5P-IT
6,4,7247,6708,1278.43,1071.03,414.93,V1,6,864691135270569125,0.897822,L5,5P-IT
6,4,7250,6711,1124.95,918.73,414.48,V1,6,864691135741998484,0.918523,L5,5P-IT
6,4,7251,6712,1187.82,652.37,411.66,V1,6,864691135874439822,0.744365,L5,5P-IT
6,4,7252,6713,847.49,402.49,411.46,RL,6,864691135590919435,0.591473,L5,5P-IT
6,4,7254,6715,1206.8,156.75,407.03,RL,6,864691135738384241,0.778041,L5,5P-IT
6,4,7255,6716,877.28,818.52,415.08,V1,6,864691135209012601,0.864795,L5,5P-IT
6,4,7258,6719,854.56,806.01,415.1,V1,6,864691135494422416,0.767693,L5,5P-IT
6,4,7259,6720,1302.57,896.74,413.19,V1,6,864691135013694358,0.726274,L5,5P-IT
6,4,7261,6721,851.11,925.56,416.21,V1,6,864691135013093878,0.729269,L5,5P-IT
6,4,7262,6722,960.6,196.03,408.89,AL,6,864691135954936072,0.540262,L5,5P-IT
6,4,7263,6723,1274.27,951.47,413.87,V1,6,864691136005587914,0.764523,L5,5P-IT
6,4,7264,6724,1025.62,647.01,412.61,V1,6,864691135361433159,0.970866,L5,5P-IT
6,4,7265,6725,968.78,1120.12,417.27,V1,6,864691135876935507,0.703324,L5,5P-IT
6,4,7270,6730,1079.73,198.8,408.19,AL,6,864691135938365749,0.962265,L5,5P-IT
6,4,7271,6731,1307.06,640.2,410.83,V1,6,864691135404430318,0.605669,L5,5P-IT
6,4,7275,6733,1129.56,313.49,408.93,RL,6,864691135856632622,0.74265,L5,5P-IT
6,4,7277,6735,1277.98,797.05,412.43,V1,6,864691135442781512,0.794699,L5,5P-IT
6,4,7279,6737,818.07,604.18,413.48,V1,6,864691135065772612,0.872748,L5,5P-IT
6,4,7280,6738,1306.74,682.54,411.21,V1,6,864691136437418398,0.886575,L5,5P-IT
6,4,7281,6739,884.73,838.46,415.21,V1,6,864691136389641488,0.373685,L4,4P
6,4,7282,6740,1026.76,163.8,408.19,AL,6,864691135475512384,0.90321,L5,5P-IT
6,4,7283,6741,996.3,502.47,411.47,V1,6,864691135105527885,0.739933,L5,5P-IT
6,4,7287,6745,873.28,1010.3,416.85,V1,6,864691135468242828,0.790666,L4,4P
