session,scan_idx,unit_id,readout_id,rf_x,rf_y,rf_sigma_x,rf_sigma_y,rf_theta,SSI
4,7,959,782,-0.107883789,0.3125676547,20.648820882,16.7745368304,3.1415926536,6.7435880639
4,7,960,783,-0.0792480912,0.1552350427,14.1822138657,10.3602295609,0.3466370099,7.7134563052
4,7,962,785,-0.0538156623,0.005609398,19.5510642201,12.518805488,3.1263806194,6.4510590002
4,7,964,787,-0.1142513625,0.0287969698,9.9161996077,11.2060401087,1.925447208,8.926873525
4,7,965,788,-0.0987900298,0.2645205126,13.2825268466,19.4383213256,0.4335734156,6.8732975832
4,7,968,791,-0.0568066242,-0.0153037634,10.8698447428,11.2163136647,0.5497783314,7.3332674935
4,7,969,792,-0.2393062061,0.0282811968,17.997526618,13.87701056,-0.1423677509,6.848803691
4,7,970,793,-0.0930352095,0.2233005564,28.3146752462,12.5234350641,-0.6106195734,6.4042788331
4,7,973,795,-0.1139012149,0.0849468962,18.0267752359,12.9492485767,3.1415926536,6.7675387229
4,7,974,796,-0.2358999945,-0.0485730324,11.8480382496,15.3929060683,-1.6962463752,7.5491870311
4,7,979,799,-0.07095548,0.0984220371,13.6074270325,15.9375757765,-0.215768933,6.6744380078
4,7,980,800,-0.3044619063,-0.077044931,18.0295278838,14.3530533735,3.1415926536,6.9522267057
4,7,982,802,-0.2399435366,-0.0913468192,9.3328553924,8.7758844365,3.1415926536,6.765384619
4,7,983,803,0.0422368271,0.2028688122,15.9061995534,30.8548548468,1.5450982221,6.8267724085
4,7,985,805,-0.043244776,0.3054227474,15.2798593235,11.2921013709,3.1415926536,7.0328204605
4,7,986,806,-0.141659919,0.3579006582,21.5562908592,11.5706264203,-0.1050640868,7.2414607762
4,7,987,807,-0.2851095207,0.0166862218,13.0331380999,11.3869992423,-0.0481305102,8.1590735782
4,7,990,810,-0.0628536651,-0.1116243059,9.2436994512,10.3999235863,-1.5829609987,6.9064895103
4,7,992,812,-0.1118054798,0.3440729871,32.3195652028,17.6921911413,3.1415926536,6.8581190344
4,7,993,813,0.0696878182,-0.2036307305,13.8046829408,12.9661720804,3.1415926536,6.7930584532
4,7,994,814,-0.1984242164,0.0290963773,9.8811369368,10.0060308772,3.1415926536,6.910658805
4,7,996,816,-0.0478680462,0.0800704422,16.5017017414,20.7361099343,0.608058621,7.6876585941
4,7,998,818,-0.0465147401,-0.1629822002,9.5327216752,12.818578893,0.5945578199,6.9417918743
4,7,999,819,0.0768318766,0.1156237132,26.5148324156,14.3104386431,3.0971953235,7.1699876065
4,7,1002,821,-0.24583963,-0.1300993044,13.0821100344,10.1128129291,-3.1415926536,7.0991869902
4,7,1003,822,-0.2410794512,-0.0228901464,10.9694178218,12.7089674364,1.6909263503,7.8622135205
4,7,1004,823,-0.1063557884,0.0240984493,13.2427835518,16.6735259911,1.4941181757,6.8162070938
4,7,1005,824,-0.0210554621,-0.0827657002,16.1678898196,13.5525585334,3.1415926536,6.665443
4,7,1006,825,-0.0130035245,0.0789888052,13.2837991909,10.0974944024,0.085052618,9.0655583302
4,7,1007,826,-0.1317483854,0.0961462009,12.7390995502,11.2215878135,-3.1415926536,7.0246271177
4,7,1009,828,0.131347731,-0.0578842474,20.9316927191,19.7133102967,-3.1415926536,7.2030667969
4,7,1011,830,-0.2257213922,-0.0599411283,15.016434396,12.4094018131,-3.1415926536,7.2224939734
4,7,1012,831,-0.0892177222,0.3348096768,22.1359860744,13.4921563955,0.0594760108,6.8223142134
4,7,1013,832,0.0631384588,0.1862732182,11.9948925359,17.0446263405,-1.5990907173,7.159108524
4,7,1014,833,-0.0080693218,0.0975730093,15.6427061261,12.095416491,3.1415926536,7.8448377218
4,7,1016,835,-0.0510679757,-0.0951734075,35.2133833567,20.7558291194,3.1415926536,6.6746910978
4,7,1019,837,-0.2003881463,0.2134774996,40.6861037799,15.6374970755,-3.1415926536,6.7098413985
4,7,1020,838,-0.075831407,0.0265038493,21.629282505,20.6811569179,3.1415926536,6.858087679
4,7,1021,839,-0.1509955369,-0.2017120734,9.8328642046,11.1442142626,3.1415926536,6.5534965009
4,7,1023,840,-0.0019077236,0.0393598138,16.9792174117,13.1906899314,-3.1415926536,7.8450758711
4,7,1029,842,-0.086516637,-0.0771279531,30.6832281347,15.3630263963,0.8081506052,6.5117886578
4,7,1030,843,-0.2333220453,0.0156707196,16.0931267449,10.2756710512,-3.1415926536,6.2239997976
4,7,1031,844,0.0623366796,0.199761874,22.4200516699,17.2562162597,-0.1477003339,6.5978538311
4,7,1033,846,-0.2399837367,0.1620527279,41.7287957918,26.1146847854,-0.1443567908,6.3525839794
4,7,1035,847,-0.1891955281,0.1275282731,15.1166122101,21.8798894787,2.463170938,6.8668146343
4,7,1036,848,-0.0137732855,0.2322785448,19.5521861705,11.4957828529,0.5014146454,6.6522640849
4,7,1037,849,-0.0094259245,0.0684703049,11.3634412057,9.6838818424,-0.3332260874,7.7430184253
4,7,1042,852,-0.2133568157,0.178237639,16.1953038802,12.2515502272,-0.5915073931,8.0859801147
4,7,1044,853,-0.0151363064,0.1838588903,11.7282693246,16.4836767569,1.6941515256,7.6163820341
4,7,1048,856,-0.0898744183,0.0274025403,13.587875033,15.4389443942,3.1415926536,7.0620096301
4,7,1050,858,-0.0907967886,0.1560986309,16.5624384359,15.6155359276,3.1415926536,7.1589873976
4,7,1051,859,-0.1279755353,0.0031435102,15.0447144489,13.0292197261,-0.5912525552,8.1048996691
4,7,1052,860,-0.1614675627,-0.0952699008,12.3080642442,12.6594773309,0.3851653957,8.1402755464
4,7,1053,861,-0.2298398751,-0.1904465282,13.8166489206,10.2727858436,0.2397591013,6.6592822884
4,7,1054,862,-0.1420175547,-0.0462028168,12.1129963763,11.5845455699,-2.7598625052,8.5447092857
4,7,1060,867,-0.1427459441,-0.1595242617,9.9770030758,10.8921325648,-3.1415926536,6.9665940439
4,7,1061,868,-0.2698681266,-0.0795512385,10.9678452152,14.3015240979,1.7317069359,7.6490514498
4,7,1062,869,-0.1833796209,0.0436943326,18.5926085732,16.363339481,-3.1415926536,6.5075337772
4,7,1064,870,0.0079987138,-0.128831976,14.1249229025,14.5039190813,-3.1415926536,8.0887210442
4,7,1065,871,-0.2068798302,-0.1511581892,10.8642208973,12.2803480288,2.0593396337,8.0653744143
4,7,1066,872,0.00893764,0.0451226476,13.0508442662,10.8560868144,-0.10589654,8.5281878236
4,7,1067,873,-0.0466217619,0.2975490282,16.7543362603,15.475405946,3.1415926536,7.4680603188
4,7,1069,874,-0.2565059699,0.2486412832,31.988316222,13.6160166251,-0.0584312407,6.7155591298
4,7,1070,875,-0.1022837983,-0.0012705602,12.8342106285,13.1861670631,-3.1415926536,7.2697123555
4,7,1071,876,-0.1390919158,0.3702460268,20.8566924192,14.8139340602,-3.1415926536,7.2290854473
4,7,1072,877,-0.147986441,0.0635373869,21.2725829688,15.7524972276,3.1415926536,7.2699411967
4,7,1073,878,-0.2348832658,0.0061864796,13.0451736214,11.1866249319,1.6441423037,7.5642242784
4,7,1074,879,-0.1658035385,0.3432434181,20.9976215446,13.79479191,-0.0407563239,6.9559978262
4,7,1075,880,0.0491132439,0.0025559395,12.6091616806,14.6272428261,2.6861670522,7.5886579242
4,7,1078,882,-0.2309376225,-0.1768655907,21.6660214074,10.8258707746,0.0644593443,6.9091834627
4,7,1079,883,-0.2079524835,0.191932072,12.8408857474,14.9707994621,1.6366781867,7.3428446089
