session,scan_idx,unit_id,readout_id,start_frame,end_frame
4,7,3378,2948,36908,36967
4,7,3379,2949,1015,1074
4,7,3380,2950,19898,19957
4,7,3386,2954,40250,40309
4,7,3388,2955,13856,13915
4,7,3391,2958,74164,74223
4,7,3392,2959,71432,71491
4,7,3394,2960,38139,38198
4,7,3395,2961,19367,19426
4,7,3396,2962,67872,67931
4,7,3400,2966,42333,42392
4,7,3402,2968,36794,36853
4,7,3403,2969,22433,22492
4,7,3406,2972,40200,40259
4,7,3407,2973,22435,22494
4,7,3408,2974,42764,42823
4,7,3410,2975,16222,16281
4,7,3412,2977,45007,45066
4,7,3416,2979,61637,61696
4,7,3418,2981,58806,58865
4,7,3423,2986,54492,54551
4,7,3424,2987,64527,64586
4,7,3425,2988,32739,32798
4,7,3426,2989,38543,38602
4,7,3427,2990,9133,9192
4,7,3435,2997,58140,58199
4,7,3440,3001,32106,32165
4,7,3441,3002,1601,1660
4,7,3442,3003,20146,20205
4,7,3443,3004,57650,57709
4,7,3444,3005,11286,11345
4,7,3445,3006,48515,48574
4,7,3446,3007,13437,13496
4,7,3447,3008,53262,53321
4,7,3450,3010,14424,14483
4,7,3451,3011,48491,48550
4,7,3452,3012,49255,49314
4,7,3454,3013,11480,11539
4,7,3455,3014,42232,42291
4,7,3456,3015,20151,20210
4,7,3457,3016,54611,54670
4,7,3464,3022,56812,56871
4,7,3465,3023,40806,40865
4,7,3466,3024,53256,53315
4,7,3470,3028,14703,14762
4,7,3471,3029,22740,22799
4,7,3472,3030,73073,73132
4,7,3473,3031,42763,42822
4,7,3474,3032,42480,42539
4,7,3477,3035,64410,64469
4,7,3480,3038,10377,10436
4,7,3481,3039,14801,14860
4,7,3482,3040,70671,70730
4,7,3483,3041,35315,35374
4,7,3484,3042,21376,21435
4,7,3485,3043,21078,21137
4,7,3486,3044,63695,63754
4,7,3488,3046,48323,48382
4,7,3490,3048,15690,15749
4,7,3491,3049,28703,28762
4,7,3493,3051,27,86
4,7,3494,3052,51350,51409
4,7,3495,3053,64389,64448
4,7,3496,3054,11476,11535
4,7,3498,3056,12732,12791
4,7,3499,3057,48050,48109
4,7,3501,3059,45602,45661
4,7,3505,3063,13013,13072
4,7,3508,3066,58676,58735
4,7,3509,3067,15211,15270
4,7,3510,3068,2241,2300
4,7,3512,3070,14005,14064
4,7,3513,3071,48458,48517
4,7,3514,3072,50207,50266
4,7,3517,3075,36736,36795
4,7,3519,3077,15667,15726
4,7,3522,3080,11470,11529
4,7,3523,3081,69672,69731
4,7,3526,3084,19375,19434
4,7,3529,3087,31645,31704
4,7,3530,3088,22989,23048
4,7,3531,3089,18606,18665
4,7,3533,3091,40619,40678
4,7,3534,3092,25623,25682
4,7,3535,3093,34694,34753
4,7,3536,3094,45637,45696
4,7,3538,3096,29013,29072
4,7,3539,3097,41188,41247
4,7,3541,3098,19897,19956
4,7,3542,3099,31401,31460
4,7,3543,3100,56927,56986
4,7,3547,3104,2609,2668
4,7,3548,3105,47940,47999
4,7,3551,3107,41040,41099
4,7,3552,3108,47702,47761
4,7,3553,3109,62338,62397
4,7,3554,3110,23473,23532
4,7,3555,3111,67921,67980
4,7,3557,3113,68405,68464
4,7,3558,3114,17309,17368
4,7,3559,3115,51904,51963
4,7,3562,3118,58881,58940
4,7,3565,3121,72310,72369
4,7,3566,3122,47703,47762
4,7,3567,3123,26855,26914
4,7,3568,3124,38288,38347
4,7,3572,3127,15608,15667
4,7,3574,3129,43440,43499
4,7,3576,3131,48402,48461
4,7,3578,3133,41899,41958
4,7,3579,3134,13865,13924
4,7,3580,3135,47640,47699
4,7,3583,3138,73064,73123
4,7,3584,3139,40066,40125
4,7,3585,3140,40239,40298
4,7,3586,3141,54810,54869
4,7,3587,3142,72532,72591
4,7,3591,3146,25800,25859
4,7,3594,3149,7849,7908
4,7,3595,3150,14447,14506
4,7,3596,3151,36999,37058
4,7,3597,3152,66,125
4,7,3599,3154,64244,64303
4,7,3601,3156,61117,61176
4,7,3604,3159,71824,71883
4,7,3606,3161,33827,33886
4,7,3609,3163,34140,34199
4,7,3611,3165,20255,20314
4,7,3612,3166,11289,11348
4,7,3616,3170,45347,45406
4,7,3617,3171,70440,70499
4,7,3619,3173,7804,7863
4,7,3620,3174,14006,14065
4,7,3623,3177,43050,43109
4,7,3624,3178,7643,7702
4,7,3625,3179,55613,55672
4,7,3626,3180,44101,44160
4,7,3627,3181,64238,64297
4,7,3630,3184,42197,42256
4,7,3633,3187,1642,1701
4,7,3634,3188,3662,3721
4,7,3636,3190,62336,62395
4,7,3638,3192,38291,38350
4,7,3640,3194,25562,25621
4,7,3642,3196,4861,4920
4,7,3648,3201,43054,43113
